회차,소방서,start,goal,meeting,u_x,u_y,v_x,v_y,forward_time,backward_time,총비용,총시간(분),경로노드수,정방향경로,역방향경로
3.0,서대문소방서 북아현119안전센터,7257925078,9283051960,9282595679,126.9563562,37.5602839,126.9340575,37.5561654,208.98,263.0,263.0,4.38,36.0,7257925078 → 4591816225 → 4309846347 → 4663449521 → 4591816224 → 4591827921 → 3893042382 → 4591828308 → 4591832828 → 4591828305 → 4591816222 → 2451940827 → 8478359173 → 1936511359 → 8482703424 → 3648333425 → 2329648772 → 3648333526 → 9282595679,9282595679 → 9282595681 → 9283051988 → 8477772800 → 7069018256 → 9283138043 → 9283138045 → 9283138047 → 9283138058 → 9283138057 → 9283138056 → 9283138055 → 9283138070 → 9283138068 → 9283051968 → 9283138078 → 9283051961 → 9283051960
3.0,마포소방서 119구조대,8477574118,9283051960,9283138093,126.9329263,37.5497833,126.9340575,37.5561654,638.72,679.0,679.0,11.32,28.0,8477574118 → 4591663752 → 4591663738 → 4591663750 → 4591663748 → 2690977357 → 5293251538 → 436805789 → 4591716533 → 4591716540 → 2330771472 → 2330771469 → 4632077004 → 4632072866 → 4639550704 → 4632072867 → 4421755486 → 4632067413 → 9283138089 → 5887231074 → 9283138093,9283138093 → 11080341316 → 436718687 → 9944466192 → 9283051968 → 9283138078 → 9283051961 → 9283051960
3.0,공덕119안전센터,2330782485,9283051960,4591424995,126.9594634,37.5500041,126.9340575,37.5561654,634.56,644.0,644.0,10.73,45.0,2330782485 → 2330782543 → 2330782501 → 3157336864 → 8383073842 → 3157553461 → 4593817613 → 3991035409 → 436825400 → 436825402 → 436825406 → 2451940825 → 436825408 → 4591461862 → 4591461863 → 2329648813 → 4591488583 → 4591424995,4591424995 → 4591488789 → 8478367051 → 436718711 → 11689066418 → 1936511359 → 8482703424 → 3648333425 → 2329648772 → 3648333526 → 9282595679 → 9282595681 → 9283051988 → 8477772800 → 7069018256 → 9283138043 → 9283138045 → 9283138047 → 9283138058 → 9283138057 → 9283138056 → 9283138055 → 9283138070 → 9283138068 → 9283051968 → 9283138078 → 9283051961 → 9283051960
3.0,서대문소방서119구조대,3825310652,9283051960,3825309066,126.9347477,37.5716165,126.9340575,37.5561654,1002.71,979.0,1002.71,16.71,49.0,3825310652 → 2532346015 → 1912549265 → 3825310381 → 6807582095 → 3825310361 → 436873059 → 3825310135 → 4590010867 → 4590010868 → 3825310056 → 3825310054 → 3785058070 → 2532403770 → 3825309970 → 3785058057 → 3785057948 → 3785057934 → 3825309611 → 4589998394 → 3825309343 → 3825309224 → 3825309165 → 3825309116 → 3825309131 → 3825309149 → 3825309136 → 3785057868 → 436855674 → 3825309083 → 3825309066,3825309066 → 3825309062 → 3825309058 → 3743712537 → 2473267808 → 2473262339 → 3743710018 → 2473262330 → 3743710017 → 4590174136 → 2473264191 → 3743710000 → 4590181165 → 2473261142 → 3309835004 → 3743691928 → 3743689823 → 3309834990 → 9283051960
,,,,,,,,,,,,,,,
4.0,서대문소방서 북아현119안전센터,7257925078,9282595689,436825413,126.9563562,37.5602839,126.949839,37.5569503,309.32,292.0,309.32,5.16,28.0,7257925078 → 4591816225 → 4309846347 → 4663449521 → 4591816224 → 4591827921 → 3893042382 → 4591828308 → 4591832828 → 4591828305 → 4591816222 → 2451940827 → 8478359173 → 1936511359 → 11689066418 → 436718711 → 436825413,436825413 → 2329648814 → 436825408 → 4591461862 → 4591461863 → 2329648813 → 4591488583 → 3351589657 → 3351589656 → 3351589650 → 3351589637 → 9282595689
4.0,마포소방서 119구조대,8477574118,9282595689,2330771456,126.9329263,37.5497833,126.949839,37.5569503,1064.99,1081.0,1081.0,18.02,44.0,8477574118 → 4591663752 → 4591663738 → 4591663750 → 4591663748 → 2690977357 → 5293251538 → 436805789 → 4591716533 → 4591716537 → 4591716541 → 2451940711 → 436805774 → 9946440068 → 436853677 → 436853683 → 9958232723 → 436853694 → 2330771349 → 2330771457 → 2330771456,2330771456 → 3339311393 → 3864845915 → 3864845907 → 2330771455 → 3864845916 → 3309834961 → 2330771433 → 2330771431 → 2330771444 → 3339259194 → 8548260203 → 2329648809 → 2329648821 → 4591488793 → 8482716303 → 3351589622 → 4591488796 → 3351589625 → 3351589627 → 2329648810 → 4591432393 → 3351589637 → 9282595689
4.0,공덕119안전센터,2330782485,9282595689,2451940825,126.9594634,37.5500041,126.949839,37.5569503,412.43,453.0,453.0,7.55,22.0,2330782485 → 2330782543 → 2330782501 → 3157336864 → 8383073842 → 3157553461 → 4593817613 → 3991035409 → 436825400 → 436825402 → 436825406 → 2451940825,2451940825 → 436825408 → 4591461862 → 4591461863 → 2329648813 → 4591488583 → 3351589657 → 3351589656 → 3351589650 → 3351589637 → 9282595689
4.0,서대문소방서119구조대,3825310652,9282595689,9468334143,126.9347477,37.5716165,126.949839,37.5569503,1826.88,1874.0,1874.0,31.23,66.0,3825310652 → 2532346015 → 1912549265 → 3825310381 → 6807582095 → 3825310361 → 436873059 → 3825310135 → 4590010867 → 4590010868 → 3825310056 → 3825310054 → 3785058070 → 2532403770 → 3825309970 → 3785058057 → 3785057948 → 3785057934 → 3825309611 → 4589998394 → 3825309343 → 3825309224 → 3825309165 → 3825309116 → 3825309131 → 3825309149 → 3825309136 → 3785057868 → 436855674 → 7773276140 → 3825309062 → 3825309058 → 3743712537 → 2473267808 → 2473262339 → 3743710018 → 2473262330 → 3743710017 → 4590174136 → 2473264191 → 3743710000 → 4590181165 → 2473261142 → 3309835004 → 7069047608 → 9283051969 → 9283051974 → 9468334143,9468334143 → 436718687 → 11689066396 → 11689066406 → 11689066410 → 11689066418 → 436718711 → 436825413 → 2329648814 → 436825408 → 4591461862 → 4591461863 → 2329648813 → 4591488583 → 3351589657 → 3351589656 → 3351589650 → 3351589637 → 9282595689
,,,,,,,,,,,,,,,
5.0,서대문소방서 북아현119안전센터,7257925078,4505415647,4590190141,126.9563562,37.5602839,126.9270352,37.5585511,663.63,697.0,697.0,11.62,58.0,7257925078 → 4591816225 → 4309846347 → 4663449521 → 4591816224 → 4591827921 → 3893042382 → 4591828308 → 4591832828 → 4591828305 → 4591816222 → 2451940827 → 8478359173 → 1936511359 → 8482703424 → 3648333425 → 2329648772 → 3648333526 → 9282595679 → 9282595681 → 9283051988 → 8477772800 → 7069018256 → 9283138043 → 9283138045 → 9283138047 → 9283138058 → 9283138057 → 9283138056 → 9283138055 → 9283138070 → 9283138068 → 9283051968 → 9283138078 → 9283051961 → 9283051960 → 9283051959 → 7069047608 → 9283051969 → 9283051974 → 9283051975 → 9283051950 → 3309834978 → 3309834974 → 3743639309 → 3648703825 → 4590190141,4590190141 → 3743639280 → 3743639283 → 3743639274 → 3743639275 → 3743639271 → 3743639270 → 3743639267 → 3743689800 → 3034284289 → 9282595663 → 4505415647
5.0,마포소방서 119구조대,8477574118,4505415647,3139492445,126.9329263,37.5497833,126.9270352,37.5585511,700.3,752.0,752.0,12.53,23.0,8477574118 → 414685256 → 8477568355 → 6048920041 → 6048920038 → 4591702787 → 436874458 → 436859638 → 9379611610 → 2775071304 → 2421606544 → 1800585176 → 1830388306 → 3139492445,3139492445 → 4927966759 → 3139492438 → 3139492472 → 3139492465 → 3024393049 → 3034284282 → 3034284289 → 9282595663 → 4505415647
