trial,station,u,v,meeting_node,u_x,u_y,v_x,v_y,forward_time,backward_time,total_cost,total_time_min,path_length,forward_path,backward_path,duration,duration_bus,duration_ambulance,bus_diff,ambulance_diff,bus_saving_percent,ambulance_saving_percent
42,서대문소방서 북아현119안전센터,7257925078.0,9282393213.0,9283138058.0,126.9563562,37.5602839,126.9255789,37.5583347,143.59,198.2,198.2,3.3,56.0,7257925078 → 2330771492 → 4663449526 → 4663449524 → 4309846347 → 4663449521 → 4591816224 → 4591827921 → 3893042382 → 4591828308 → 4591832828 → 4591828305 → 4591816222 → 2451940827 → 8478359173 → 1936511359 → 8482703424 → 3648333425 → 2329648772 → 3648333526 → 9282595679 → 9282595681 → 9283051988 → 8477772800 → 7069018256 → 9283138043 → 9283138045 → 9283138047 → 9283138058,9283138058 → 9283138057 → 9283138056 → 9283138055 → 9283138070 → 9283138068 → 9283051968 → 9283138078 → 9283051961 → 9283051960 → 9283051959 → 7069047608 → 9283051969 → 9283051958 → 9283051963 → 9283051982 → 7069047606 → 7069047605 → 7069047604 → 7069047603 → 9282595673 → 9282422519 → 9301802433 → 9301802434 → 9301802435 → 4505415665 → 9282393215 → 9282393213,511.0,8.516666666666667,5.893533333333333,5.216666666666668,2.5935333333333332,61.25244618395303,44.00642512131942
43,서대문소방서 북아현119안전센터,7257925078.0,3351589656.0,8478359170.0,126.9563562,37.5602839,126.9520012,37.556868,109.34,150.5,150.5,2.51,28.0,7257925078 → 2330771492 → 4663449526 → 4663449524 → 4309846347 → 4663449521 → 4591816224 → 4591827921 → 3893042382 → 4591828308 → 4591832828 → 4591828305 → 4591816222 → 2451940827 → 8478359173 → 8478359170,8478359170 → 1936511359 → 11689066418 → 436718711 → 436825413 → 2329648814 → 436825408 → 4591461862 → 4591461863 → 2329648813 → 4591488583 → 3351589657 → 3351589656,241.0,4.016666666666667,2.779533333333333,1.5066666666666668,0.2695333333333334,37.51037344398341,9.69707145084307
44,서대문소방서119구조대,3825310652.0,3785058124.0,2330771268.0,126.9347477,37.5716165,126.9228846,37.5722578,84.98,142.0,142.0,2.37,32.0,3825310652 → 2532346015 → 1912549265 → 3825310381 → 6807582095 → 3825310361 → 436873059 → 3825310135 → 4590010867 → 3785058089 → 4590010869 → 3785058081 → 2330771268,2330771268 → 3825310140 → 3825310147 → 3825310148 → 3825310153 → 2330771290 → 2330771286 → 3825310283 → 3825310299 → 3825310301 → 3825310296 → 3785058086 → 3825310367 → 3825310619 → 10676167516 → 3825310759 → 3825310772 → 3825310777 → 4590038056 → 3785058124,504.0,8.4,5.812799999999999,6.03,3.442799999999999,71.78571428571429,59.22791081750619
45,공덕119안전센터,2330782485.0,3864845912.0,436835433.0,126.9594634,37.5500041,126.9420605,37.5553594,177.22,179.4,179.4,2.99,33.0,2330782485 → 2330782481 → 4595156238 → 2330782529 → 4593828146 → 2330782519 → 3991035410 → 3967124565 → 2451940682 → 3356410218 → 2329648920 → 3431021593 → 3351589224 → 2329648927 → 4591390419 → 2329648931 → 4591390418 → 3351615375 → 2329648852 → 5235827850 → 436835433,436835433 → 7298467871 → 4591432395 → 4591432394 → 2451940793 → 7966875819 → 2330771333 → 2451940802 → 8385741221 → 3339311193 → 3864845909 → 3864845913 → 3864845912,255.0,4.25,2.941,1.2599999999999998,-0.04900000000000038,29.647058823529406,-1.6660999659979727
46,서대문소방서 북아현119안전센터,7257925078.0,4591849966.0,4591845025.0,126.9563562,37.5602839,126.961425,37.5615805,88.58,147.9,147.9,2.47,24.0,7257925078 → 2330771492 → 4663449526 → 4663449524 → 4309846347 → 4663449521 → 4591816224 → 4591824247 → 2451940858 → 2330782585 → 4591845008 → 4591845009 → 4591845025,4591845025 → 3893041625 → 4591824251 → 3893041655 → 4591805991 → 4591824254 → 2451940872 → 2451940885 → 4591849968 → 4591849976 → 4591849967 → 4591849966,314.0,5.233333333333333,3.621466666666666,2.763333333333333,1.151466666666666,52.802547770700635,31.795589264018247
47,공덕119안전센터,2330782485.0,4595156238.0,2330782481.0,126.9594634,37.5500041,126.9573947,37.5485365,10.03,11.0,11.0,0.18,3.0,2330782485 → 2330782481,2330782481 → 4595156238,773.0,12.883333333333333,8.915266666666666,12.703333333333333,8.735266666666666,98.60284605433377,97.98099140799678
48,공덕119안전센터,2330782485.0,3807475198.0,3807474996.0,126.9594634,37.5500041,126.9609132,37.5501609,127.4,133.3,133.3,2.22,14.0,2330782485 → 2330782481 → 4595156238 → 4595156258 → 4595156260 → 10156195558 → 10156195524 → 3807474996,3807474996 → 10156195533 → 3807475099 → 3807475141 → 3807475200 → 3807475213 → 3807475198,49.0,0.8166666666666667,0.5651333333333333,-1.4033333333333335,-1.654866666666667,-171.8367346938776,-292.8276512917306
49,서대문소방서 북아현119안전센터,7257925078.0,3309835043.0,8385791616.0,126.9563562,37.5602839,126.9446118,37.5583611,53.63,86.3,86.3,1.44,16.0,7257925078 → 2330771492 → 4591859926 → 4591816229 → 2329648783 → 2451940919 → 2451940901 → 7967031733 → 4591767518 → 8385791616,8385791616 → 2961215633 → 3310757863 → 3310757862 → 4591742672 → 3309835058 → 3309835043,411.0,6.85,4.7402,5.41,3.3002,78.97810218978103,69.62153495633096
50,서대문소방서 북아현119안전센터,7257925078.0,4592891795.0,4263508454.0,126.9563562,37.5602839,126.9608312,37.5708796,218.12,252.0,252.0,4.2,34.0,7257925078 → 2330771492 → 4591859926 → 4591816229 → 2329648783 → 2451940933 → 2330771537 → 4056370646 → 4056370648 → 4056367770 → 436848861 → 436848862 → 2451940973 → 436848863 → 2451940988 → 3648412325 → 2147528582 → 3339450993 → 2147528590 → 7225316107 → 2147528569 → 2147528533 → 2147528494 → 4263508454,4263508454 → 4263508455 → 5587869985 → 5587869984 → 3451483294 → 436855704 → 7706526741 → 2451941066 → 4592891789 → 4592891791 → 4592891795,394.0,6.566666666666666,4.544133333333333,2.3666666666666663,0.34413333333333274,36.04060913705583,7.57313459112114
average,,,,,,,,,311.42,340.28,344.21,5.74,47.43,,,,,,,,,
