ID,u,v,key,osmid,highway,name,oneway,reversed,length,geometry,lanes,maxspeed,ref,bridge,tunnel,junction,access,width,service,u_x,u_y,v_x,v_y,u_point,v_point,risk
5243,4591888160,4591888038,0,"[464005104, 464005110]",residential,독립문로6길,FALSE,TRUE,166.5294144,"LINESTRING (126.9606552 37.5686676, 126.9604641 37.5691359, 126.9604086 37.5693006, 126.960354 37.5694627, 126.9603414 37.5698469, 126.9603207 37.5699479, 126.960381 37.570122)",,,,,,,,,,126.9606552,37.5686676,126.960381,37.570122,POINT (126.9606552 37.5686676),POINT (126.960381 37.570122),0.156620453
5244,4591902830,2451940974,0,463992133,residential,경기대로9길,FALSE,TRUE,41.26672747,"LINESTRING (126.9595433 37.5645138, 126.9590945 37.5644081)",,,,,,,,,,126.9595433,37.5645138,126.9590945,37.5644081,POINT (126.9595433 37.5645138),POINT (126.9590945 37.5644081),0.310538818
5245,4591902830,4591904319,0,463992133,residential,경기대로9길,FALSE,FALSE,189.5945159,"LINESTRING (126.9595433 37.5645138, 126.9596719 37.5645476, 126.9600448 37.5644522, 126.9614011 37.5640206, 126.9614801 37.5640021, 126.9615592 37.5639936)",,,,,,,,,,126.9595433,37.5645138,126.9615592,37.5639936,POINT (126.9595433 37.5645138),POINT (126.9615592 37.5639936),0.605529258
5246,4591902830,4591904327,0,464007529,residential,경기대로9안길,FALSE,FALSE,68.79845652,"LINESTRING (126.9595433 37.5645138, 126.9594753 37.5646579, 126.959338 37.5647801, 126.9595459 37.5649908, 126.9595798 37.5650112)",,,,,,,,,,126.9595433,37.5645138,126.9595798,37.5650112,POINT (126.9595433 37.5645138),POINT (126.9595798 37.5650112),0.535165939
5247,4591902835,4591871325,0,464001747,residential,독립문로8길,FALSE,FALSE,259.4700624,"LINESTRING (126.9601991 37.5654258, 126.9607983 37.5649457, 126.9608751 37.5649102, 126.9609632 37.5649177, 126.9610904 37.5650092, 126.9611589 37.5651197, 126.9612276 37.5654328, 126.9612547 37.5654894, 126.9613437 37.5655161, 126.9614402 37.5654774, 126.9615022 37.5654226, 126.9615306 37.5653568, 126.9615394 37.5652403, 126.9615394 37.5651954, 126.9615632 37.5651722, 126.9615977 37.5651772, 126.9616715 37.5653322, 126.9616997 37.5655214)",,,,,,,,,,126.9601991,37.5654258,126.9616997,37.5655214,POINT (126.9601991 37.5654258),POINT (126.9616997 37.5655214),0.285680023
5248,4591902835,4591904328,0,464001747,residential,독립문로8길,FALSE,TRUE,42.38944551,"LINESTRING (126.9601991 37.5654258, 126.9600693 37.5655214, 126.9599723 37.5655596, 126.9597792 37.5655357)",,,,,,,,,,126.9601991,37.5654258,126.9597792,37.5655357,POINT (126.9601991 37.5654258),POINT (126.9597792 37.5655357),0.196925239
5249,4591902835,4591904329,0,464007529,residential,경기대로9안길,FALSE,TRUE,29.85667969,"LINESTRING (126.9601991 37.5654258, 126.9599967 37.5652323, 126.9599777 37.5652241)",,,,,,,,,,126.9601991,37.5654258,126.9599777,37.5652241,POINT (126.9601991 37.5654258),POINT (126.9599777 37.5652241),0.73979909
5250,4591904311,4591904329,0,464007529,residential,경기대로9안길,FALSE,FALSE,2.670573532,"LINESTRING (126.9599511 37.5652126, 126.9599777 37.5652241)",,,,,,,,,,126.9599511,37.5652126,126.9599777,37.5652241,POINT (126.9599511 37.5652126),POINT (126.9599777 37.5652241),0.742766769
5251,4591904311,4591904327,0,464007529,residential,경기대로9안길,FALSE,TRUE,39.75500256,"LINESTRING (126.9599511 37.5652126, 126.9598225 37.5651572, 126.9595798 37.5650112)",,,,,,,,,,126.9599511,37.5652126,126.9595798,37.5650112,POINT (126.9599511 37.5652126),POINT (126.9595798 37.5650112),0.866208413
5252,4591904311,4591904315,0,464007780,residential,경기대로9안길,FALSE,FALSE,45.14874554,"LINESTRING (126.9599511 37.5652126, 126.960094 37.5651004, 126.9603252 37.5649354)",,,,,,,,,,126.9599511,37.5652126,126.9603252,37.5649354,POINT (126.9599511 37.5652126),POINT (126.9603252 37.5649354),0.199303349
5253,4591904314,4591904315,0,464007780,residential,경기대로9안길,FALSE,TRUE,23.67117659,"LINESTRING (126.960555 37.5648263, 126.9603501 37.5649177, 126.9603252 37.5649354)",,,,,,,,,,126.960555,37.5648263,126.9603252,37.5649354,POINT (126.960555 37.5648263),POINT (126.9603252 37.5649354),0.259267954
5254,4591904315,4591904314,0,464007780,residential,경기대로9안길,FALSE,FALSE,23.67117659,"LINESTRING (126.9603252 37.5649354, 126.9603501 37.5649177, 126.960555 37.5648263)",,,,,,,,,,126.9603252,37.5649354,126.960555,37.5648263,POINT (126.9603252 37.5649354),POINT (126.960555 37.5648263),0.788257409
5255,4591904315,4591904311,0,464007780,residential,경기대로9안길,FALSE,TRUE,45.14874554,"LINESTRING (126.9603252 37.5649354, 126.960094 37.5651004, 126.9599511 37.5652126)",,,,,,,,,,126.9603252,37.5649354,126.9599511,37.5652126,POINT (126.9603252 37.5649354),POINT (126.9599511 37.5652126),0.670190406
